Task,Average,Links to Procedures
Lift Cylinder and Steering Supply Hoses ,4:06,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520LiftCylinderandSteeringSupplyHoses__03.pptx
Pro Lift Cylinder and Steering Supply Hoses,4:06,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520ProLiftCylinderandSteeringSupplyHoses_00.pptx
10 Micron Filter To Rear Motor Hose,1:04,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN452010MicronFilterToRearMotorHose_00.pptx
Pro Relief Hose And Aux Hoses,0:35,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520ProReliefHoseandAuxHoses_00.pptx
Optional 3pt Couplers Assembly,2:31,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-Optional3ptCouplers__00.pptx
Optional 3pt Hitch Couplers Install,2:06,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520Optional3-pointHitchCouplers__00.pptx
Inner Toolbox Panel Assembly,1:53,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-InnerToolboxPanel__00.pptx
Inner Toolbox Panel Install,0:12,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520InnerRightBoxPanel__01.pptx
QC Checklist,0:19,
In-Bound Inspection,0:59,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\In-Bound Inspection Station 10_00.pptx
Right Panel Fuse Box and Wire Install,0:57,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520RightPanelFuseBoxandWireInstall__00.pptx
Pro 12V Adjustment and Connections,0:20,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520Pro12VAdjustmentandConnections_00.pptx
Standard Front Right Panel ,1:58,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520StandardFrontRightPanel__00.pptx
Optional 3-point Front Right Panel ,,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520Optional3-pointFrontRightPanel__01.pptx
Optional 3-Point Lift Cylinder Hoses ,,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520Optional3PointLiftCylinderHoses__00.pptx
Dash Assembly,11:46,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-Dash__05.pptx
Dash Install,1:18,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520DashInstall__01.pptx
Steering Hoses Trim Loc ,0:16,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520SteeringHosesTrimLoc__00.pptx
Pump Case Drain,1:55,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520PumpCaseDrain__00.pptx
QC Checklist,0:35,
In-Bound Inspection,0:34,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\In-Bound Inspection Station 11_00.pptx
Charge Hose,1:53,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520ChargeHose_00.pptx
PET Hoses To Steering Valve,3:40,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520PETHosesToSteeringValve_02.pptx
SDLA Assembly,4:18,
Pro Fuse and Relay Install,0:40,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520ProFuseandRelayInstall_00.pptx
Steering Cylinder Hoses,3:04,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520SteeringCylinderHoses__00.pptx
Pump Discharge Hoses,1:08,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520PumpDischarge_00.pptx
Hydraulic Oil Tank Assembly,3:17,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-OilTank__00.pptx
Hydraulic Oil Tank Install,3:21,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520HydraulicOilTank__02.pptx
Gauge Cluster,0:23,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520GaugeCluster__01.pptx
Optional 3-point Hoses,,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520Optional3-pointhoses__01.pptx
QC Checklist,0:31,
In-Bound Inspection,0:28,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\In-Bound Inspection Station 12_00.pptx
Brake Handle Assembly,2:19,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-BrakeHandle__00.pptx
Brake Handle Install,1:34,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520BrakeHandleInstall__00.pptx
Neutral Assist Rocker and Forward Stop ,3:25,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520NeutralAssistRockerandForwardStop__00.pptx
Neutral Assist Link and Lever,3:00,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520NeutralAssistLinkandLever__00.pptx
Steering Wheel,1:15,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520SteeringWheel__00.pptx
High Low Shift Lever,0:46,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520HighLowShiftLever__00.pptx
High Low Shift Rod,1:25,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520HighLowShiftRod__00.pptx
High Low Shift Cable,6:23,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520HighLowShiftCable__01.pptx
QC Checklist,2:00,
In-Bound Inspection,1:16,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\In-Bound Inspection Station 12_00.pptx
Ground Cables N,1:50,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520GroundCablesN__01.pptx
Positive Battery Cables N ,2:47,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520PositiveBatteryCablesN__01.pptx
Fuel pump prep N,4:03,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520FuelPumpInstallN__05.pptx
Fuel Pump Install N,9:52,This and the preivous one are lumped together in the procedures
Front Fuse Panel Bracket ,0:43,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520FrontFusePanelBracket__02.pptx
Left Rear and Left Seat Box Panel YN,1:33,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520LeftRearandLeftSeatBoxPanelYN__01.pptx
32.0221 Harness ,4:43,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN452032.0221Harness__01.pptx
Brake Rod,1:07,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520BrakeRod__00.pptx
Battery Box,1:35,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520BatteryBox__01.pptx
Fuel Tank Install N,3:00,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520FuelTankInstallN__00.pptx
Fuel Tank Cover,1:15,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520FuelTankCover__00.pptx
Inner Fuel Tank Cover,1:55,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520InnerFuelTankCover__00.pptx
QC Checklist ,1:58,
10-Micron Filter Install,1:12,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN452010MicronFilterInstall__00.pptx
25-Micron Filter Install ,0:55,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN452025MicronFilterInstall__00.pptx
Hydraulic Oil Fill,8:55,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520HydraulicOilFill__01.pptx
Hydraulic Testing,19:10,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520HydraulicTesting_03.pptx
QC Checklist,0:58,
In-Bound Inspection,1:38,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\In-Bound Inspection Station 16N_03.pptx
32.0247 and 32.0248 Harness Install N,8:32,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN452032.0247and32.0248HarnessInstallN__01.pptx
Pro 32.0255 Harness Install,6:10,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520Pro32.0255Harness_04.pptx
Neutral Start Switch Assembly,2:33,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-NeutralStartSwitch__00.pptx
Neutral Start Switch Install,1:28,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520NeutralStartSwitchInstall__00.pptx
PTO Arm and Engine Isolator Mounts N,5:53,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520PTOArmandEngineIsolatorMountsN__00.pptx
QC Checklist,1:21,
In-Bound Inspection,,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\In-Bound Inspection Station 17N_00.pptx
Radiator Mount N,2:16,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520RadiatorMountN__00.pptx
PTO Tensioner Rod and Rocker Assembly,1:18,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-PTOTensionerRodandRocker__03.pptx
PTO Tensioner Rocker/Links Assembly,3:10,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-PTOTensionerRockerLinks__00.pptx
PTO Idler Arms Tensioner Linkage,1:33,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520PTOIdlerArmsTensionerLinkage__01.pptx
PTO Rockers and Double Pulley N Install,2:07,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520PTORockersandDoublePulleyN__00.pptx
Engine Mounting N,2:50,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520EngineMountingN__01.pptx
Engine Oil Drain Routing N,1:10,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520EngineOilDrainRoutingN__01.pptx
32.0247 Harness Engine Install N,3:30,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN452032.0247HarnessEngineInstallN__00.pptx
Ground and Starter Wiring N ,2:32,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520GroundandStarterWiringN__00.pptx
Clutch Plug and RPM Disc N,0:47,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520ClutchPlugandRPMDiscN__00.pptx
QC Checklist,,
In-Bound Inspection,1:12,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\In-Bound Inspection Station 18_00.pptx
Front Hitch Latch Assembly,1:07,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-Front Hitch Latch__00.pptx
Front Hitch Latch and Lever Install,2:53,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520FrontHitchLatchandLever__00.pptx
Canvas Debris Barrier,0:23,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520CanvasDebrisBarrier__01.pptx
Oil Tank Cap Tightening ,,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520OilTankCapTightening__01.pptx
USB Plug,0:33,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520USBPlugInstall__00.pptx
Battery Install,2:00,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520BatteryInstall__00.pptx
QC Checklist,2:20,
In-Bound Inspection,0:47,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\In-Bound Inspection Station 19_01.pptx
TCM Install,1:18,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520TCMInstall__03.pptx
Fuel N ,0:43,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520FuelN_00.pptx
